x,u
0.005,2.98872e-25
0.015,1.45746e-23
0.025,3.55779e-22
0.035,5.79795e-21
0.045,7.0982e-20
0.055,6.96557e-19
0.065,5.70912e-18
0.075,4.02138e-17
0.085,2.48599e-16
0.095,1.37078e-15
0.105,6.82937e-15
0.115,3.10685e-14
0.125,1.30206e-13
0.135,5.06514e-13
0.145,1.84098e-12
0.155,6.28783e-12
0.165,2.02848e-11
0.175,6.20937e-11
0.185,1.811e-10
0.195,5.05129e-10
0.205,1.35192e-09
0.215,3.48241e-09
0.225,8.65683e-09
0.235,2.08177e-08
0.245,4.8531e-08
0.255,1.0988e-07
0.265,2.42003e-07
0.275,5.19177e-07
0.285,1.08617e-06
0.295,2.21809e-06
0.305,4.425e-06
0.315,8.62943e-06
0.325,1.64598e-05
0.335,3.07215e-05
0.345,5.6131e-05
0.355,0.000100427
0.365,0.000176
0.375,0.000302204
0.385,0.000508531
0.395,0.000838799
0.405,0.00135647
0.415,0.00215111
0.425,0.00334574
0.435,0.00510483
0.445,0.00764198
0.455,0.0112264
0.465,0.0161869
0.475,0.0229111
0.485,0.0318389
0.495,0.0434482
0.5,0.0434824
0.51,0.0564689
0.52,0.0726808
0.53,0.0925904
0.54,0.11667
0.55,0.145392
0.55,0.145646
0.56,0.179012
0.57,0.218004
0.58,0.262166
0.59,0.311042
0.6,0.364176
0.6,0.364389
0.61,0.420339
0.62,0.478309
0.63,0.5359
0.64,0.590715
0.65,0.640355
0.65,0.639805
0.66,0.682183
0.67,0.712948
0.68,0.730605
0.69,0.733662
0.7,0.720626
0.7,0.720106
0.71,0.691757
0.72,0.647369
0.73,0.590139
0.74,0.523261
0.75,0.44993
0.75,0.450634
0.76,0.374167
0.77,0.300733
0.78,0.232645
0.79,0.172217
0.8,0.121764
0.8,0.121929
0.81,0.0816622
0.82,0.0517884
0.83,0.030697
0.84,0.0167777
0.85,0.00842026
0.85,0.00819948
0.86,0.00387648
0.87,0.001487
0.88,0.00044312
0.89,0.000156917
0.9,4.04796e-05
0.9,3.65974e-05
0.91,1.28663e-05
0.92,7.0129e-09
0.93,-5.13388e-06
0.94,-5.70975e-06
0.95,-4.87401e-06
0.95,-5.19938e-06
0.96,-1.19839e-06
0.97,5.71125e-07
0.98,8.10754e-07
0.99,2.22079e-07
1,-4.93315e-07
