x,u
0.005,2.23541e-12
0.015,4.02292e-11
0.025,3.67692e-10
0.035,2.28453e-09
0.045,1.09032e-08
0.055,4.28461e-08
0.065,1.45153e-07
0.075,4.38216e-07
0.085,1.20868e-06
0.095,3.10365e-06
0.105,7.52382e-06
0.115,1.73906e-05
0.125,3.85838e-05
0.135,8.25204e-05
0.145,0.000170572
0.155,0.000341273
0.165,0.000661497
0.175,0.00124286
0.185,0.00226432
0.195,0.00400126
0.205,0.00685965
0.215,0.0114116
0.225,0.0184258
0.235,0.0288822
0.245,0.0439592
0.255,0.0649791
0.265,0.0933029
0.275,0.130168
0.285,0.176479
0.295,0.232569
0.305,0.29797
0.315,0.371233
0.325,0.449846
0.335,0.530293
0.345,0.608267
0.355,0.67903
0.365,0.737887
0.375,0.780707
0.385,0.804401
0.395,0.807295
0.405,0.789327
0.415,0.752029
0.425,0.698318
0.435,0.632121
0.445,0.557908
0.455,0.480205
0.465,0.403161
0.475,0.33022
0.485,0.263927
0.495,0.205876
0.5,0.206315
0.51,0.151992
0.52,0.107769
0.53,0.0729023
0.54,0.0466477
0.55,0.028261
0.55,0.0280529
0.56,0.0161309
0.57,0.00848073
0.58,0.00405831
0.59,0.00181932
0.6,0.000719485
0.6,0.000673781
0.61,0.000267065
0.62,6.90577e-05
0.63,6.94289e-06
0.64,7.90338e-06
0.65,-8.77831e-07
0.65,-1.2237e-06
0.66,-1.07687e-06
0.67,-6.78087e-07
0.68,-2.42704e-07
0.69,1.39063e-08
0.7,-1.23624e-07
0.7,-2.06236e-07
0.71,-1.18629e-07
0.72,-1.4097e-08
0.73,6.36867e-08
0.74,7.10503e-08
0.75,-3.56782e-08
0.75,-8.87706e-08
0.76,-4.17493e-08
0.77,1.02824e-09
0.78,2.63876e-08
0.79,2.11545e-08
0.8,-2.78453e-08
0.8,-4.88455e-08
0.81,-7.942e-09
0.82,8.88887e-09
0.83,8.85829e-09
0.84,-8.22484e-10
0.85,-1.29422e-08
0.85,-1.35842e-08
0.86,2.14191e-09
0.87,4.72959e-09
0.88,6.97033e-10
0.89,-3.43762e-09
0.9,-1.15622e-09
0.9,1.74969e-09
0.91,1.52216e-09
0.92,3.88014e-10
0.93,-6.86737e-10
0.94,-7.36084e-10
0.95,1.20598e-09
0.95,1.63417e-09
0.96,3.7718e-11
0.97,-3.70661e-10
0.98,-1.27049e-10
0.99,2.32472e-10
1,1.71816e-10
