x,u
0.005,6.11357e-06
0.015,1.59668e-05
0.025,4.00653e-05
0.035,9.65934e-05
0.045,0.000223746
0.055,0.000497955
0.065,0.00106477
0.075,0.00218749
0.085,0.00431784
0.095,0.0081887
0.105,0.0149208
0.115,0.0261214
0.125,0.0439369
0.135,0.0710054
0.145,0.110251
0.155,0.164474
0.165,0.235746
0.175,0.324652
0.185,0.429557
0.195,0.546074
0.205,0.666977
0.215,0.782705
0.225,0.882497
0.235,0.955997
0.245,0.995012
0.255,0.995012
0.265,0.955997
0.275,0.882497
0.285,0.782705
0.295,0.666977
0.305,0.546074
0.315,0.429557
0.325,0.324652
0.335,0.235746
0.345,0.164474
0.355,0.110251
0.365,0.0710054
0.375,0.0439369
0.385,0.0261214
0.395,0.0149208
0.405,0.0081887
0.415,0.00431784
0.425,0.00218749
0.435,0.00106477
0.445,0.000497955
0.455,0.000223746
0.465,9.65934e-05
0.475,4.00653e-05
0.485,1.59668e-05
0.495,6.11357e-06
0.5,3.5325e-06
0.51,1.40864e-06
0.52,4.21013e-07
0.53,1.31853e-07
0.54,1.03401e-07
0.55,-1.02103e-07
0.55,1.40043e-08
0.56,4.88027e-09
0.57,1.00375e-09
0.58,2.25578e-10
0.59,3.96612e-10
0.6,-6.32302e-10
0.6,2.034e-11
0.61,6.2853e-12
0.62,7.42393e-13
0.63,7.23929e-14
0.64,6.36397e-13
0.65,-1.2045e-12
0.65,1.08347e-14
0.66,3.00885e-15
0.67,1.07037e-16
0.68,-4.29417e-17
0.69,3.86736e-16
0.7,-7.76108e-16
0.7,2.1184e-18
0.71,5.3521e-19
0.72,-2.25549e-20
0.73,-1.8053e-20
0.74,8.55607e-20
0.75,-1.74869e-19
0.75,1.52119e-22
0.76,3.53582e-23
0.77,-4.06514e-24
0.78,-1.72013e-24
0.79,6.82366e-24
0.8,-1.40033e-23
0.8,4.01362e-27
0.81,8.6706e-28
0.82,-1.5844e-28
0.83,-5.22599e-29
0.84,1.96221e-28
0.85,-4.02379e-28
0.85,3.89223e-32
0.86,7.88722e-33
0.87,-1.93426e-33
0.88,-5.47955e-34
0.89,2.04039e-33
0.9,-4.17499e-33
0.9,1.38761e-37
0.91,2.65962e-38
0.92,-8.04164e-39
0.93,-2.04431e-39
0.94,7.69656e-39
0.95,-1.57107e-38
0.95,1.81893e-43
0.96,3.32227e-44
0.97,-1.17627e-44
0.98,-2.75343e-45
0.99,1.05608e-44
1,-2.15098e-44
