x,u
0.005,1.09282e-31
0.015,7.01045e-30
0.025,2.24945e-28
0.035,4.81424e-27
0.045,7.73216e-26
0.055,9.94213e-25
0.065,1.06623e-23
0.075,9.81114e-23
0.085,7.90869e-22
0.095,5.67446e-21
0.105,3.66991e-20
0.115,2.16149e-19
0.125,1.16927e-18
0.135,5.8516e-18
0.145,2.72595e-17
0.155,1.18846e-16
0.165,4.87229e-16
0.175,1.88625e-15
0.185,6.92189e-15
0.195,2.41601e-14
0.205,8.04587e-14
0.215,2.56383e-13
0.225,7.83764e-13
0.235,2.30416e-12
0.245,6.52891e-12
0.255,1.78676e-11
0.265,4.73174e-11
0.275,1.21469e-10
0.285,3.02762e-10
0.295,7.33791e-10
0.305,1.73166e-09
0.315,3.98383e-09
0.325,8.94465e-09
0.335,1.9619e-08
0.345,4.20745e-08
0.355,8.82926e-08
0.365,1.81421e-07
0.375,3.6523e-07
0.385,7.20751e-07
0.395,1.3949e-06
0.405,2.64857e-06
0.415,4.93563e-06
0.425,9.02965e-06
0.435,1.62225e-05
0.445,2.86278e-05
0.455,4.96346e-05
0.465,8.45658e-05
0.475,0.000141613
0.485,0.000233126
0.495,0.000377338
0.5,0.00036746
0.51,0.000554795
0.52,0.00080062
0.53,0.00115064
0.54,0.00165057
0.55,0.0023461
0.55,0.00231791
0.56,0.00332108
0.57,0.00463792
0.58,0.00643614
0.59,0.00888344
0.6,0.0121475
0.6,0.0121092
0.61,0.0164873
0.62,0.0221422
0.63,0.029487
0.64,0.0389346
0.65,0.050898
0.65,0.0509526
0.66,0.0658647
0.67,0.0843998
0.68,0.107012
0.69,0.134154
0.7,0.166279
0.7,0.16657
0.71,0.203556
0.72,0.246383
0.73,0.294362
0.74,0.346803
0.75,0.403018
0.75,0.403178
0.76,0.461477
0.77,0.520583
0.78,0.577847
0.79,0.630618
0.8,0.676246
0.8,0.675566
0.81,0.712056
0.82,0.734695
0.83,0.74248
0.84,0.734407
0.85,0.709475
0.85,0.709095
0.86,0.668688
0.87,0.613326
0.88,0.546806
0.89,0.472927
0.9,0.395486
0.9,0.396306
0.91,0.31865
0.92,0.247236
0.93,0.183696
0.94,0.129659
0.95,0.086756
0.95,0.0867505
0.96,0.0545349
0.97,0.031934
0.98,0.0171181
0.99,0.00825775
1,0.00352331
