x,u
0.005,4.94257e-22
0.015,2.03007e-20
0.025,4.17731e-19
0.035,5.74403e-18
0.045,5.94039e-17
0.055,4.93099e-16
0.065,3.42407e-15
0.075,2.0471e-14
0.085,1.07639e-13
0.095,5.06054e-13
0.105,2.15558e-12
0.115,8.41033e-12
0.125,3.0335e-11
0.135,1.01953e-10
0.145,3.21496e-10
0.155,9.57007e-10
0.165,2.70366e-09
0.175,7.28379e-09
0.185,1.87913e-08
0.195,4.65965e-08
0.205,1.11413e-07
0.215,2.57575e-07
0.225,5.77108e-07
0.235,1.25556e-06
0.245,2.65662e-06
0.255,5.47382e-06
0.265,1.09942e-05
0.275,2.15431e-05
0.285,4.12099e-05
0.295,7.69972e-05
0.305,0.000140576
0.315,0.000250882
0.325,0.000437803
0.335,0.000747236
0.345,0.00124771
0.355,0.00203864
0.365,0.00326015
0.375,0.00510376
0.385,0.00782324
0.395,0.0117439
0.405,0.0172682
0.415,0.0248756
0.425,0.0351136
0.435,0.0485768
0.445,0.0658739
0.455,0.0875804
0.465,0.114179
0.475,0.145991
0.485,0.183105
0.495,0.225312
0.5,0.225622
0.51,0.269896
0.52,0.319407
0.53,0.372858
0.54,0.428952
0.55,0.486392
0.55,0.486329
0.56,0.543109
0.57,0.596759
0.58,0.644672
0.59,0.684243
0.6,0.712866
0.6,0.712111
0.61,0.728545
0.62,0.728743
0.63,0.713193
0.64,0.682387
0.65,0.636813
0.65,0.636858
0.66,0.578877
0.67,0.51159
0.68,0.438819
0.69,0.364386
0.7,0.292113
0.7,0.292799
0.71,0.225168
0.72,0.166916
0.73,0.118241
0.74,0.0793411
0.75,0.0504154
0.75,0.0502439
0.76,0.0301091
0.77,0.0166584
0.78,0.00840966
0.79,0.00388085
0.8,0.00158994
0.8,0.00149621
0.81,0.000601157
0.82,0.00016245
0.83,2.1725e-05
0.84,2.06164e-05
0.85,7.58858e-07
0.85,5.72002e-07
0.86,-3.89463e-06
0.87,-4.65687e-06
0.88,-3.20261e-06
0.89,-1.01971e-06
0.9,4.03921e-07
0.9,7.03712e-07
0.91,3.31067e-07
0.92,-1.64623e-08
0.93,-2.39826e-07
0.94,-2.39971e-07
0.95,8.21534e-08
0.95,1.664e-07
0.96,1.64507e-07
0.97,6.14645e-08
0.98,-5.82871e-08
0.99,-1.10307e-07
1,-1.01531e-08
