x,u
0.005,3.6968e-09
0.015,3.80919e-08
0.025,2.06775e-07
0.035,7.99649e-07
0.045,2.51236e-06
0.055,6.91092e-06
0.065,1.74187e-05
0.075,4.13119e-05
0.085,9.35145e-05
0.095,0.000203412
0.105,0.00042643
0.115,0.00086261
0.125,0.00168459
0.135,0.00317691
0.145,0.00578654
0.155,0.0101814
0.165,0.0173076
0.175,0.0284298
0.185,0.045132
0.195,0.0692532
0.205,0.102732
0.215,0.147353
0.225,0.204391
0.235,0.274216
0.245,0.355896
0.255,0.446916
0.265,0.543094
0.275,0.638774
0.285,0.727305
0.295,0.80179
0.305,0.855964
0.315,0.885074
0.325,0.886564
0.335,0.86045
0.345,0.809293
0.355,0.737784
0.365,0.652041
0.375,0.558758
0.385,0.46436
0.395,0.374326
0.405,0.292743
0.415,0.222151
0.425,0.163611
0.435,0.116967
0.445,0.0811853
0.455,0.0547188
0.465,0.0358197
0.475,0.0227778
0.485,0.014073
0.495,0.00844938
0.5,0.00828416
0.51,0.00423476
0.52,0.00187383
0.53,0.000717763
0.54,0.000282959
0.55,8.58153e-05
0.55,7.67751e-05
0.56,2.53461e-05
0.57,2.86883e-06
0.58,-1.59396e-06
0.59,1.02055e-06
0.6,-2.24853e-07
0.6,-8.21261e-08
0.61,-7.90201e-08
0.62,-1.12552e-07
0.63,-1.30478e-07
0.64,-8.05558e-08
0.65,8.94587e-08
0.65,1.69791e-07
0.66,3.47517e-08
0.67,-2.62155e-08
0.68,-3.20663e-08
0.69,-1.75683e-09
0.7,4.57568e-08
0.7,4.68775e-08
0.71,-6.06374e-09
0.72,-1.49486e-08
0.73,-1.91317e-09
0.74,1.09067e-08
0.75,1.37499e-09
0.75,-8.94485e-09
0.76,-3.82755e-09
0.77,5.4809e-11
0.78,1.90224e-09
0.79,9.14786e-10
0.8,-3.70754e-09
0.8,-2.87727e-09
0.81,4.26486e-10
0.82,8.53827e-10
0.83,-4.00925e-11
0.84,-7.00116e-10
0.85,4.2891e-10
0.85,9.0897e-10
0.86,1.0879e-10
0.87,-1.3997e-10
0.88,-7.04485e-11
0.89,8.42175e-11
0.9,9.08908e-11
0.9,-7.20764e-11
0.91,-3.71991e-11
0.92,-3.23271e-12
0.93,1.63897e-11
0.94,8.23481e-12
0.95,-4.11304e-11
0.95,-1.56324e-11
0.96,5.11532e-12
0.97,5.66105e-12
0.98,-1.7915e-12
0.99,-5.03856e-12
1,8.12363e-12
