x,u
0.005,1.80724e-28
0.015,1.02033e-26
0.025,2.88222e-25
0.035,5.43228e-24
0.045,7.68656e-23
0.055,8.71139e-22
0.065,8.23883e-21
0.075,6.68957e-20
0.085,4.76153e-19
0.095,3.01902e-18
0.105,1.72694e-17
0.115,9.005e-17
0.125,4.31752e-16
0.135,1.91741e-15
0.145,7.93732e-15
0.155,3.07972e-14
0.165,1.12552e-13
0.175,3.89128e-13
0.185,1.27774e-12
0.195,3.99898e-12
0.205,1.19681e-11
0.215,3.43525e-11
0.225,9.48262e-11
0.235,2.52356e-10
0.245,6.48931e-10
0.255,1.61576e-09
0.265,3.90259e-09
0.275,9.15914e-09
0.285,2.09183e-08
0.295,4.65523e-08
0.305,1.01064e-07
0.315,2.14253e-07
0.325,4.43925e-07
0.335,8.99634e-07
0.345,1.78432e-06
0.355,3.4655e-06
0.365,6.59399e-06
0.375,1.22968e-05
0.385,2.24828e-05
0.395,4.03139e-05
0.405,7.09125e-05
0.415,0.000122394
0.425,0.000207331
0.435,0.000344766
0.445,0.000562892
0.455,0.000902498
0.465,0.00142123
0.475,0.00219864
0.485,0.00334185
0.495,0.00499153
0.5,0.00495488
0.51,0.00693345
0.52,0.00951701
0.53,0.0129687
0.54,0.0175518
0.55,0.0235294
0.55,0.023512
0.56,0.0312686
0.57,0.0411432
0.58,0.0536319
0.59,0.0692312
0.6,0.0884371
0.6,0.088588
0.61,0.111719
0.62,0.139699
0.63,0.172679
0.64,0.210805
0.65,0.254227
0.65,0.25455
0.66,0.302534
0.67,0.355508
0.68,0.411866
0.69,0.470006
0.7,0.528325
0.7,0.528151
0.71,0.584473
0.72,0.635716
0.73,0.679271
0.74,0.712529
0.75,0.732879
0.75,0.732078
0.76,0.738642
0.77,0.727655
0.78,0.700359
0.79,0.657991
0.8,0.601793
0.8,0.602055
0.81,0.534896
0.82,0.461214
0.83,0.384879
0.84,0.30976
0.85,0.239727
0.85,0.240352
0.86,0.177474
0.87,0.125658
0.88,0.0843723
0.89,0.0530843
0.9,0.0312627
0.9,0.0310039
0.91,0.017076
0.92,0.00837932
0.93,0.00359059
0.94,0.0013864
0.95,0.000443402
0.95,0.00039336
0.96,0.00013967
0.97,2.77191e-05
0.98,2.55768e-06
0.99,9.23704e-06
1,-7.19175e-06
