x,u
0.005,1.35173e-15
0.015,3.47241e-14
0.025,4.49055e-13
0.035,3.90373e-12
0.045,2.57077e-11
0.055,1.37064e-10
0.065,6.17644e-10
0.075,2.42536e-09
0.085,8.49366e-09
0.095,2.70179e-08
0.105,7.92362e-08
0.115,2.16892e-07
0.125,5.59751e-07
0.135,1.37321e-06
0.145,3.22321e-06
0.155,7.27475e-06
0.165,1.58466e-05
0.175,3.34043e-05
0.185,6.82701e-05
0.195,0.000135449
0.205,0.00026111
0.215,0.000489369
0.225,0.000892096
0.235,0.00158234
0.245,0.00273163
0.255,0.00459086
0.265,0.00751305
0.275,0.0119753
0.285,0.0185954
0.295,0.028136
0.305,0.0414909
0.315,0.0596446
0.325,0.0836005
0.335,0.114277
0.345,0.152375
0.355,0.198226
0.365,0.251648
0.375,0.311818
0.385,0.377201
0.395,0.445551
0.405,0.513998
0.415,0.579234
0.425,0.637765
0.435,0.686226
0.445,0.721703
0.455,0.742026
0.465,0.745989
0.475,0.733468
0.485,0.705418
0.495,0.663759
0.5,0.663615
0.51,0.615722
0.52,0.556325
0.53,0.489014
0.54,0.417376
0.55,0.345002
0.55,0.345689
0.56,0.275325
0.57,0.212156
0.58,0.157088
0.59,0.111031
0.6,0.0748911
0.6,0.0748338
0.61,0.0479067
0.62,0.0288781
0.63,0.0162351
0.64,0.00846514
0.65,0.00405535
0.65,0.00392032
0.66,0.00180466
0.67,0.00066221
0.68,0.000187061
0.69,7.33212e-05
0.7,1.50939e-05
0.7,1.29985e-05
0.71,2.28751e-06
0.72,-1.97055e-06
0.73,-2.2191e-06
0.74,-9.01573e-07
0.75,-4.61393e-07
0.75,-3.04625e-07
0.76,-3.87743e-08
0.77,-2.01166e-08
0.78,-1.00874e-07
0.79,-1.33267e-07
0.8,3.04816e-08
0.8,9.20296e-08
0.81,9.33774e-08
0.82,3.12995e-08
0.83,-3.95886e-08
0.84,-6.46709e-08
0.85,1.06681e-08
0.85,4.49977e-08
0.86,3.88884e-08
0.87,1.05605e-08
0.88,-1.79822e-08
0.89,-2.47358e-08
0.9,1.23034e-08
0.9,3.05424e-08
0.91,1.27039e-08
0.92,-1.28342e-09
0.93,-8.42669e-09
0.94,-5.73299e-09
0.95,9.7906e-09
0.95,1.59184e-08
0.96,1.86031e-09
0.97,-3.3395e-09
0.98,-2.69624e-09
0.99,7.74849e-10
1,4.05851e-09
